rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type
1801EE17,7,7,PH401,,7/23/2021 01:16:44,,7/23/2021 01:16:44,Open Elective
1801EE18,7,7,EE484,,7/23/2021 09:46:47,,7/23/2021 09:46:47,CORE
1801CE10,7,7,CE495,,7/24/2021 14:08:16,,7/24/2021 14:08:16,CORE
1801EE18,7,7,EE486,,7/23/2021 09:46:47,,7/23/2021 09:46:47,CORE
1801EE18,7,7,EE493,,7/23/2021 09:46:47,,7/23/2021 09:46:47,CORE
1801EE18,7,7,EE523,,7/23/2021 09:46:47,,7/23/2021 09:46:47,Department Elective - I
1801EE18,7,7,PH401,,7/23/2021 09:46:47,,7/23/2021 09:46:47,Open Elective
1801EE19,7,7,EE484,,7/24/2021 20:32:09,,7/24/2021 20:32:09,CORE
1801EE19,7,7,EE485,,7/24/2021 20:32:09,,7/24/2021 20:32:09,CORE
1801EE19,7,7,EE486,,7/24/2021 20:32:09,,7/24/2021 20:32:09,CORE
1801EE19,7,7,EE493,,7/24/2021 20:32:09,,7/24/2021 20:32:09,CORE
1801EE19,7,7,EE523,,7/24/2021 20:32:09,,7/24/2021 20:32:09,Department Elective - I
1801EE19,7,7,PH401,,7/24/2021 20:32:09,,7/24/2021 20:32:09,Open Elective
1801EE20,7,7,EE484,,7/23/2021 01:41:49,,7/23/2021 01:41:49,CORE
1801EE20,7,7,EE485,,7/23/2021 01:41:49,,7/23/2021 01:41:49,CORE
1801EE20,7,7,EE486,,7/23/2021 01:41:49,,7/23/2021 01:41:49,CORE
1801EE20,7,7,EE493,,7/23/2021 01:41:49,,7/23/2021 01:41:49,CORE
1801EE20,7,7,EE523,,7/23/2021 01:41:49,,7/23/2021 01:41:49,Department Elective - I
1801EE20,7,7,PH401,,7/23/2021 01:41:49,,7/23/2021 01:41:49,Open Elective
1801EE21,7,7,EE484,,7/23/2021 13:39:22,,7/23/2021 13:39:22,CORE
1801EE21,7,7,EE485,,7/23/2021 13:39:22,,7/23/2021 13:39:22,CORE
1801EE21,7,7,EE486,,7/23/2021 13:39:22,,7/23/2021 13:39:22,CORE
1801EE21,7,7,EE493,,7/23/2021 13:39:22,,7/23/2021 13:39:22,CORE
1801CE14,7,7,CE491,,7/23/2021 19:44:42,,7/23/2021 19:44:42,CORE
1801EE21,7,7,PH401,,7/23/2021 13:39:22,,7/23/2021 13:39:22,Open Elective
1801CB11,7,7,CB409,,7/23/2021 10:48:41,,7/23/2021 10:48:41,CORE
1801EE23,7,7,EE485,,7/23/2021 00:45:11,,7/23/2021 00:45:11,CORE
1801EE23,7,7,EE486,,7/23/2021 00:45:11,,7/23/2021 00:45:11,CORE
1801EE23,7,7,EE493,,7/23/2021 00:45:11,,7/23/2021 00:45:11,CORE
1801EE23,7,7,EE523,,7/23/2021 00:45:11,,7/23/2021 00:45:11,Department Elective - I
1801EE23,7,7,PH401,,7/23/2021 00:45:11,,7/23/2021 00:45:11,Open Elective
1801EE24,7,7,EE484,,7/23/2021 11:24:17,,7/23/2021 11:24:17,CORE
1801CS21,7,7,CS555,,7/23/2021 10:04:00,,7/23/2021 10:04:00,Department Elective - III
1801CE14,7,7,CE543,,7/23/2021 19:44:42,,7/23/2021 19:44:42,Department Elective - II
1801EE24,7,7,EE493,,7/23/2021 11:24:17,,7/23/2021 11:24:17,CORE
1801EE24,7,7,EE523,,7/23/2021 11:24:17,,7/23/2021 11:24:17,Department Elective - I
1801EE24,7,7,PH401,,7/23/2021 11:24:17,,7/23/2021 11:24:17,Open Elective
1801EE25,7,7,EE484,,7/23/2021 00:42:50,,7/23/2021 00:42:50,CORE
1801EE25,7,7,EE485,,7/23/2021 00:42:50,,7/23/2021 00:42:50,CORE
1801EE25,7,7,EE486,,7/23/2021 00:42:50,,7/23/2021 00:42:50,CORE
1801EE25,7,7,EE493,,7/23/2021 00:42:50,,7/23/2021 00:42:50,CORE
1801EE25,7,7,EE523,,7/23/2021 00:42:50,,7/23/2021 00:42:50,Department Elective - I
1801EE25,7,7,HS451,,7/23/2021 00:42:50,,7/23/2021 00:42:50,Open Elective
1801EE26,7,7,EE484,,7/23/2021 00:50:33,,7/23/2021 00:50:33,CORE
1801EE26,7,7,EE485,,7/23/2021 00:50:33,,7/23/2021 00:50:33,CORE
1801EE26,7,7,EE486,,7/23/2021 00:50:33,,7/23/2021 00:50:33,CORE
1801EE26,7,7,EE493,,7/23/2021 00:50:33,,7/23/2021 00:50:33,CORE
1801EE26,7,7,EE523,,7/23/2021 00:50:33,,7/23/2021 00:50:33,Department Elective - I
1801EE26,7,7,HS451,,7/23/2021 00:50:33,,7/23/2021 00:50:33,Open Elective
1801EE27,7,7,EE484,,7/22/2021 23:58:24,,7/22/2021 23:58:24,CORE
1801CS23,7,7,CS491,,7/23/2021 10:07:50,,7/23/2021 10:07:50,CORE
1801EE27,7,7,EE486,,7/22/2021 23:58:24,,7/22/2021 23:58:24,CORE
1801EE27,7,7,EE493,,7/22/2021 23:58:24,,7/22/2021 23:58:24,CORE
1801EE27,7,7,EE523,,7/22/2021 23:58:24,,7/22/2021 23:58:24,Department Elective - I
1801EE27,7,7,HS451,,7/22/2021 23:58:24,,7/22/2021 23:58:24,Open Elective
1801EE28,7,7,EE484,,7/22/2021 23:52:11,,7/22/2021 23:52:11,CORE
1801EE28,7,7,EE485,,7/22/2021 23:52:11,,7/22/2021 23:52:11,CORE
1801EE28,7,7,EE486,,7/22/2021 23:52:11,,7/22/2021 23:52:11,CORE
1801EE28,7,7,EE493,,7/22/2021 23:52:11,,7/22/2021 23:52:11,CORE
1801EE28,7,7,EE523,,7/22/2021 23:52:11,,7/22/2021 23:52:11,Department Elective - I
1801EE28,7,7,HS451,,7/22/2021 23:52:11,,7/22/2021 23:52:11,Open Elective
1801EE29,7,7,EE484,,7/23/2021 11:31:34,,7/23/2021 11:31:34,CORE
1801EE29,7,7,EE485,,7/23/2021 11:31:34,,7/23/2021 11:31:34,CORE
1801EE29,7,7,EE486,,7/23/2021 11:31:34,,7/23/2021 11:31:34,CORE
1801EE29,7,7,EE493,,7/23/2021 11:31:34,,7/23/2021 11:31:34,CORE
1801EE29,7,7,EE523,,7/23/2021 11:31:34,,7/23/2021 11:31:34,Department Elective - I
1801EE29,7,7,PH401,,7/23/2021 11:31:34,,7/23/2021 11:31:34,Open Elective
1801EE30,7,7,EE484,,7/23/2021 11:20:12,,7/23/2021 11:20:12,CORE
1801EE30,7,7,EE485,,7/23/2021 11:20:12,,7/23/2021 11:20:12,CORE
1801EE30,7,7,EE486,,7/23/2021 11:20:12,,7/23/2021 11:20:12,CORE
1801EE30,7,7,EE493,,7/23/2021 11:20:12,,7/23/2021 11:20:12,CORE
1801EE30,7,7,EE523,,7/23/2021 11:20:12,,7/23/2021 11:20:12,Department Elective - I
1801EE30,7,7,PH401,,7/23/2021 11:20:12,,7/23/2021 11:20:12,Open Elective
1801EE31,7,7,EE484,,7/23/2021 11:21:52,,7/23/2021 11:21:52,CORE
1801EE31,7,7,EE485,,7/23/2021 11:21:52,,7/23/2021 11:21:52,CORE
1801EE31,7,7,EE486,,7/23/2021 11:21:52,,7/23/2021 11:21:52,CORE
1801EE31,7,7,EE493,,7/23/2021 11:21:52,,7/23/2021 11:21:52,CORE
1801EE31,7,7,EE523,,7/23/2021 11:21:52,,7/23/2021 11:21:52,Department Elective - I
1801EE31,7,7,PH401,,7/23/2021 11:21:52,,7/23/2021 11:21:52,Open Elective
1801EE32,7,7,EE484,,7/23/2021 02:18:17,,7/23/2021 02:18:17,CORE
1801EE32,7,7,EE485,,7/23/2021 02:18:17,,7/23/2021 02:18:17,CORE
1801EE32,7,7,EE486,,7/23/2021 02:18:17,,7/23/2021 02:18:17,CORE
1801EE32,7,7,EE493,,7/23/2021 02:18:17,,7/23/2021 02:18:17,CORE
1801EE32,7,7,EE523,,7/23/2021 02:18:17,,7/23/2021 02:18:17,Department Elective - I
1801EE32,7,7,HS451,,7/23/2021 02:18:17,,7/23/2021 02:18:17,Open Elective
1801EE33,7,7,EE484,,7/22/2021 23:46:59,,7/22/2021 23:46:59,CORE
1801CS26,7,7,CS577,,7/23/2021 10:07:47,,7/23/2021 10:07:47,Department Elective - IV
1801EE33,7,7,EE486,,7/22/2021 23:46:59,,7/22/2021 23:46:59,CORE
1801EE33,7,7,EE493,,7/22/2021 23:46:59,,7/22/2021 23:46:59,CORE
1801EE33,7,7,EE523,,7/22/2021 23:46:59,,7/22/2021 23:46:59,Department Elective - I
1801EE33,7,7,PH401,,7/22/2021 23:46:59,,7/22/2021 23:46:59,Open Elective
1801EE34,7,7,EE484,,7/22/2021 23:44:38,,7/22/2021 23:44:38,CORE
1801CS27,7,7,CS555,,7/23/2021 14:39:53,,7/23/2021 14:39:53,Department Elective - III
1801EE34,7,7,EE486,,7/22/2021 23:44:38,,7/22/2021 23:44:38,CORE
1801EE34,7,7,EE493,,7/22/2021 23:44:38,,7/22/2021 23:44:38,CORE
1801EE34,7,7,EE523,,7/22/2021 23:44:38,,7/22/2021 23:44:38,Department Elective - I
1801CS27,7,7,CS577,,7/23/2021 14:39:53,,7/23/2021 14:39:53,Department Elective - IV
1801EE36,7,7,EE484,,7/23/2021 01:31:51,,7/23/2021 01:31:51,CORE
1801EE36,7,7,EE485,,7/23/2021 01:31:51,,7/23/2021 01:31:51,CORE
1801EE36,7,7,EE486,,7/23/2021 01:31:51,,7/23/2021 01:31:51,CORE
1801EE36,7,7,EE493,,7/23/2021 01:31:51,,7/23/2021 01:31:51,CORE
1801EE36,7,7,EE540,,7/23/2021 01:31:51,,7/23/2021 01:31:51,Department Elective - I
1801EE36,7,7,PH401,,7/23/2021 01:31:51,,7/23/2021 01:31:51,Open Elective
1801EE37,7,7,EE484,,7/23/2021 13:41:27,,7/23/2021 13:41:27,CORE
1801EE37,7,7,EE485,,7/23/2021 13:41:27,,7/23/2021 13:41:27,CORE
1801EE37,7,7,EE486,,7/23/2021 13:41:27,,7/23/2021 13:41:27,CORE
1801EE37,7,7,EE493,,7/23/2021 13:41:27,,7/23/2021 13:41:27,CORE
1801EE37,7,7,EE523,,7/23/2021 13:41:27,,7/23/2021 13:41:27,Department Elective - I
1801EE37,7,7,PH401,,7/23/2021 13:41:27,,7/23/2021 13:41:27,Open Elective
1801EE38,7,7,EE484,,7/23/2021 01:14:16,,7/23/2021 01:14:16,CORE
1801EE38,7,7,EE485,,7/23/2021 01:14:16,,7/23/2021 01:14:16,CORE
1801EE38,7,7,EE486,,7/23/2021 01:14:16,,7/23/2021 01:14:16,CORE
1801EE38,7,7,EE493,,7/23/2021 01:14:16,,7/23/2021 01:14:16,CORE
1801EE38,7,7,EE523,,7/23/2021 01:14:16,,7/23/2021 01:14:16,Department Elective - I
1801EE38,7,7,PH401,,7/23/2021 01:14:16,,7/23/2021 01:14:16,Open Elective
1801EE39,7,7,EE484,,7/23/2021 12:18:43,,7/23/2021 12:18:43,CORE
1801EE39,7,7,EE485,,7/23/2021 12:18:43,,7/23/2021 12:18:43,CORE
1801EE39,7,7,EE486,,7/23/2021 12:18:43,,7/23/2021 12:18:43,CORE
1801EE39,7,7,EE493,,7/23/2021 12:18:43,,7/23/2021 12:18:43,CORE
1801EE39,7,7,EE523,,7/23/2021 12:18:43,,7/23/2021 12:18:43,Department Elective - I
1801EE39,7,7,PH401,,7/23/2021 12:18:43,,7/23/2021 12:18:43,Open Elective
1801EE40,7,7,EE484,,7/23/2021 13:29:21,,7/23/2021 13:29:21,CORE
1801EE40,7,7,EE485,,7/23/2021 13:29:21,,7/23/2021 13:29:21,CORE
1801EE40,7,7,EE486,,7/23/2021 13:29:21,,7/23/2021 13:29:21,CORE
1801EE40,7,7,EE493,,7/23/2021 13:29:21,,7/23/2021 13:29:21,CORE
1801EE40,7,7,EE523,,7/23/2021 13:29:21,,7/23/2021 13:29:21,Department Elective - I
1801EE40,7,7,PH401,,7/23/2021 13:29:21,,7/23/2021 13:29:21,Open Elective
1801CS30,7,7,CS577,,7/23/2021 12:37:28,,7/23/2021 12:37:28,Department Elective - IV
1801CS30,7,7,PH401,,7/23/2021 12:37:28,,7/23/2021 12:37:28,Open Elective
1801CB23,7,7,PH401,,7/23/2021 12:23:52,,7/23/2021 12:23:52,Open Elective - III
1801CE18,7,7,CE549,,7/24/2021 09:33:36,,7/24/2021 09:33:36,Department Elective - I
2121HS01,2,2,HS732,,3/23/2021 11:47:50,,3/23/2021 11:47:50,AUDIT
2121CS17,2,2,CS564,,3/23/2021 11:54:29,,3/23/2021 11:54:29,CREDIT
1801EE42,7,7,EE484,,7/23/2021 10:38:43,,7/23/2021 10:38:43,CORE
1801EE42,7,7,EE485,,7/23/2021 10:38:43,,7/23/2021 10:38:43,CORE
1801EE42,7,7,EE486,,7/23/2021 10:38:43,,7/23/2021 10:38:43,CORE
1801EE42,7,7,EE493,,7/23/2021 10:38:43,,7/23/2021 10:38:43,CORE
1801EE42,7,7,EE523,,7/23/2021 10:38:43,,7/23/2021 10:38:43,Department Elective - I
1801EE42,7,7,PH401,,7/23/2021 10:38:43,,7/23/2021 10:38:43,Open Elective
1801EE43,7,7,EE484,,7/23/2021 01:34:53,,7/23/2021 01:34:53,CORE
1801EE43,7,7,EE485,,7/23/2021 01:34:53,,7/23/2021 01:34:53,CORE
1801CS32,7,7,CS491,,7/23/2021 15:59:11,,7/23/2021 15:59:11,CORE
1801EE43,7,7,EE493,,7/23/2021 01:34:53,,7/23/2021 01:34:53,CORE
1801EE43,7,7,EE523,,7/23/2021 01:34:53,,7/23/2021 01:34:53,Department Elective - I
1801EE43,7,7,PH401,,7/23/2021 01:34:53,,7/23/2021 01:34:53,Open Elective
1801EE44,7,7,EE484,,7/24/2021 16:14:05,,7/24/2021 16:14:05,CORE
1801EE44,7,7,EE485,,7/24/2021 16:14:05,,7/24/2021 16:14:05,CORE
1801EE44,7,7,EE486,,7/24/2021 16:14:05,,7/24/2021 16:14:05,CORE
1801EE44,7,7,EE493,,7/24/2021 16:14:05,,7/24/2021 16:14:05,CORE
1801EE44,7,7,EE523,,7/24/2021 16:14:05,,7/24/2021 16:14:05,Department Elective - I
1801CS33,7,7,CS491,,7/23/2021 00:19:58,,7/23/2021 00:19:58,CORE
1801EE45,7,7,EE484,,7/23/2021 13:30:54,,7/23/2021 13:30:54,CORE
1801EE45,7,7,EE485,,7/23/2021 13:30:54,,7/23/2021 13:30:54,CORE
1801EE45,7,7,EE486,,7/23/2021 13:30:54,,7/23/2021 13:30:54,CORE
1801CE19,7,7,CE549,,7/23/2021 19:45:17,,7/23/2021 19:45:17,Department Elective - I
1801CB12,7,7,PH401,,7/23/2021 12:09:36,,7/23/2021 12:09:36,Open Elective - III
2121PH09,2,2,PH702,,3/24/2021 16:47:03,,3/24/2021 16:47:03,AUDIT
2121PH09,2,2,PH701,,3/24/2021 16:47:03,,3/24/2021 16:47:03,AUDIT
1801CB24,7,7,CB409,,7/24/2021 10:13:45,,7/24/2021 10:13:45,CORE
2121PH21,1,1,PH701,,7/26/2021 14:20:10,,7/26/2021 14:20:10,CREDIT
2121ME11,2,2,CB501,,7/25/2021 16:51:39,,7/25/2021 16:51:39,AUDIT
2121ME08,2,2,ME742,,3/25/2021 23:50:43,,3/25/2021 23:50:43,CREDIT
2121PH09,2,2,PH704,,3/24/2021 16:47:03,,3/24/2021 16:47:03,CREDIT
2121PH13,2,2,PH701,,3/24/2021 17:52:19,,3/24/2021 17:52:19,CREDIT
2121ME19,2,2,ME512,,3/25/2021 15:21:18,,3/25/2021 15:21:18,AUDIT
2121ME20,2,2,ME503,,3/24/2021 16:43:52,,3/24/2021 16:43:52,AUDIT
2121MM02,2,2,PH601,,3/25/2021 22:32:12,,3/25/2021 22:32:12,CREDIT
1801CB07,7,7,CB417,,7/23/2021 11:17:12,,7/23/2021 11:17:12,CORE
2121HS06,2,2,HS713,,3/25/2021 11:55:34,,3/25/2021 11:55:34,CREDIT
2121HS04,2,2,HS733,,3/24/2021 15:10:48,,3/24/2021 15:10:48,CREDIT
2121PH21,1,1,PH702,,7/26/2021 14:20:10,,7/26/2021 14:20:10,CREDIT
1801CB24,7,7,CB417,,7/24/2021 10:13:45,,7/24/2021 10:13:45,CORE
2121PH06,2,2,PH521,,3/25/2021 10:14:48,,3/25/2021 10:14:48,CREDIT
2121PH01,2,2,PH702,,3/24/2021 19:36:38,,3/24/2021 19:36:38,CREDIT
2121PH02,2,2,PH609,,3/25/2021 00:33:59,,3/25/2021 00:33:59,CREDIT
2121ME02,2,2,ME742,,3/24/2021 22:00:36,,3/24/2021 22:00:36,CREDIT
2121HS06,2,2,HS732,,3/25/2021 11:55:34,,3/25/2021 11:55:34,CREDIT
2121MM01,2,2,PH601,,3/25/2021 10:58:23,,3/25/2021 10:58:23,CREDIT
2121ME02,2,2,ME503,,3/24/2021 22:00:36,,3/24/2021 22:00:36,AUDIT
1801CE20,7,7,CE549,,7/23/2021 19:46:02,,7/23/2021 19:46:02,Department Elective - I
2121HS11,2,2,HS552,,3/24/2021 09:45:52,,3/24/2021 09:45:52,CREDIT
2121ME02,2,2,ME533,,3/24/2021 22:00:36,,3/24/2021 22:00:36,AUDIT
2121MA09,2,2,MA533,,3/24/2021 22:20:39,,3/24/2021 22:20:39,CREDIT
2121MA04,2,2,MA539,,7/24/2021 14:23:54,,7/24/2021 14:23:54,CREDIT
1801CB14,7,7,CB405,,7/23/2021 11:19:41,,7/23/2021 11:19:41,CORE
2121PH01,2,2,PH701,,3/24/2021 19:36:38,,3/24/2021 19:36:38,CREDIT
2121MA08,2,2,MA531,,3/25/2021 12:57:03,,3/25/2021 12:57:03,CREDIT
1801CE20,7,7,PH401,,7/23/2021 19:46:02,,7/23/2021 19:46:02,Open Elective - III
1801CS36,7,7,HS451,,7/23/2021 11:05:56,,7/23/2021 11:05:56,Open Elective
2121HS05,2,2,HS725,,3/24/2021 09:44:55,,3/24/2021 09:44:55,CREDIT
1801CB25,7,7,CB405,,7/23/2021 20:15:03,,7/23/2021 20:15:03,CORE
1801EE53,7,7,EE523,,7/23/2021 10:31:13,,7/23/2021 10:31:13,Department Elective - I
1801EE53,7,7,PH401,,7/23/2021 10:31:13,,7/23/2021 10:31:13,Open Elective
1801EE55,7,7,CS555,,7/24/2021 14:11:39,,7/24/2021 14:11:39,Department Elective - I
1801CE21,7,7,CE495,,7/23/2021 09:42:48,,7/23/2021 09:42:48,CORE
2012MA07,3,3,MA523,,3/23/2021 18:30:03,,3/23/2021 18:30:03,CORE
1801EE55,7,7,EE486,,7/24/2021 14:11:39,,7/24/2021 14:11:39,CORE
2012MA06,3,3,MA527,,3/22/2021 14:00:54,,3/22/2021 14:00:54,Elective - I
1801CS37,7,7,HS451,,7/23/2021 10:35:01,,7/23/2021 10:35:01,Open Elective
1801EE56,7,7,EE484,,7/23/2021 10:39:59,,7/23/2021 10:39:59,CORE
1801EE56,7,7,EE485,,7/23/2021 10:39:59,,7/23/2021 10:39:59,CORE
1801EE56,7,7,EE486,,7/23/2021 10:39:59,,7/23/2021 10:39:59,CORE
1801EE56,7,7,EE493,,7/23/2021 10:39:59,,7/23/2021 10:39:59,CORE
1801EE56,7,7,EE523,,7/23/2021 10:39:59,,7/23/2021 10:39:59,Department Elective - I
1801EE56,7,7,PH401,,7/23/2021 10:39:59,,7/23/2021 10:39:59,Open Elective
1801EE57,7,7,EE484,,7/23/2021 01:24:31,,7/23/2021 01:24:31,CORE
1801EE57,7,7,EE485,,7/23/2021 01:24:31,,7/23/2021 01:24:31,CORE
1801CB07,7,7,PH401,,7/23/2021 11:17:12,,7/23/2021 11:17:12,Open Elective - III
1801CS38,7,7,HS451,,7/23/2021 12:09:03,,7/23/2021 12:09:03,Open Elective
2012MA05,3,3,MA523,,3/24/2021 09:58:24,,3/24/2021 09:58:24,CORE
2012MA03,3,3,MA527,,3/24/2021 22:30:04,,3/24/2021 22:30:04,Elective - I
1801EE58,7,7,EE484,,7/23/2021 10:38:05,,7/23/2021 10:38:05,CORE
2012MA01,3,3,MA527,,3/22/2021 14:50:19,,3/22/2021 14:50:19,Elective - I
2012CH22,3,3,CH605,,3/23/2021 10:16:30,,3/23/2021 10:16:30,Elective - I
1801CB25,7,7,CB417,,7/23/2021 20:15:03,,7/23/2021 20:15:03,CORE
1801EE58,7,7,EE523,,7/23/2021 10:38:05,,7/23/2021 10:38:05,Department Elective - I
1801EE58,7,7,PH401,,7/23/2021 10:38:05,,7/23/2021 10:38:05,Open Elective
1801EE60,7,7,EE484,,7/23/2021 11:49:08,,7/23/2021 11:49:08,CORE
1801EE60,7,7,EE485,,7/23/2021 11:49:08,,7/23/2021 11:49:08,CORE
1801EE60,7,7,EE486,,7/23/2021 11:49:08,,7/23/2021 11:49:08,CORE
1801EE60,7,7,EE493,,7/23/2021 11:49:08,,7/23/2021 11:49:08,CORE
1801EE60,7,7,EE523,,7/23/2021 11:49:08,,7/23/2021 11:49:08,Department Elective - I
1801EE60,7,7,PH401,,7/23/2021 11:49:08,,7/23/2021 11:49:08,Open Elective
1801CS40,7,7,CS564,,7/23/2021 11:42:45,,7/23/2021 11:42:45,Department Elective - II
1801CS40,7,7,CS571,,7/23/2021 11:42:45,,7/23/2021 11:42:45,Department Elective - IV
1801CB25,7,7,PH401,,7/23/2021 20:15:03,,7/23/2021 20:15:03,Open Elective - III
1801CS40,7,7,CS577,,7/23/2021 11:42:45,,7/23/2021 11:42:45,Department Elective - III
2012CH20,3,3,CH605,,3/23/2021 21:01:46,,3/23/2021 21:01:46,Elective - I
2012CH20,3,3,CH530,,3/23/2021 21:01:46,,3/23/2021 21:01:46,CORE
2012CH20,3,3,CH525,,3/23/2021 21:01:46,,3/23/2021 21:01:46,CORE
1801CB27,7,7,CB401,,7/24/2021 20:53:34,,7/24/2021 20:53:34,CORE
1801EE63,7,7,EE486,,7/23/2021 00:52:03,,7/23/2021 00:52:03,CORE
2012CH19,3,3,CH523,,3/23/2021 10:22:41,,3/23/2021 10:22:41,CORE
2012CH19,3,3,CH521,,3/23/2021 10:22:41,,3/23/2021 10:22:41,CORE
1801CE22,7,7,PH401,,7/24/2021 12:50:26,,7/24/2021 12:50:26,Open Elective - III
2012CH18,3,3,CH525,,3/23/2021 20:19:46,,3/23/2021 20:19:46,CORE
1801EE64,7,7,EE485,,7/23/2021 11:26:15,,7/23/2021 11:26:15,CORE
1801EE64,7,7,EE486,,7/23/2021 11:26:15,,7/23/2021 11:26:15,CORE
1801CB27,7,7,CB405,,7/24/2021 20:53:34,,7/24/2021 20:53:34,CORE
2012CH17,3,3,CH525,,3/24/2021 22:02:27,,3/24/2021 22:02:27,CORE
1801EE64,7,7,PH401,,7/23/2021 11:26:15,,7/23/2021 11:26:15,Open Elective
1801EE65,7,7,EE484,,7/23/2021 08:03:12,,7/23/2021 08:03:12,CORE
1801EE65,7,7,EE485,,7/23/2021 08:03:12,,7/23/2021 08:03:12,CORE
1801EE65,7,7,EE486,,7/23/2021 08:03:12,,7/23/2021 08:03:12,CORE
1801EE65,7,7,EE493,,7/23/2021 08:03:12,,7/23/2021 08:03:12,CORE
1801EE65,7,7,EE523,,7/23/2021 08:03:12,,7/23/2021 08:03:12,Department Elective - I
1801EE65,7,7,PH401,,7/23/2021 08:03:12,,7/23/2021 08:03:12,Open Elective
1801CB14,7,7,PH401,,7/23/2021 11:19:41,,7/23/2021 11:19:41,Open Elective - III
2012CH16,3,3,CH523,,3/25/2021 10:26:52,,3/25/2021 10:26:52,CORE
2012CH15,3,3,CH527,,3/25/2021 11:49:33,,3/25/2021 11:49:33,CORE
1801CE24,7,7,CE549,,7/24/2021 12:41:42,,7/24/2021 12:41:42,Department Elective - I
1801EE66,7,7,EE525,,7/23/2021 08:13:04,,7/23/2021 08:13:04,Department Elective - I
1801EE66,7,7,PH401,,7/23/2021 08:13:04,,7/23/2021 08:13:04,Open Elective
1801EE67,7,7,EE484,,7/23/2021 09:40:03,,7/23/2021 09:40:03,CORE
2012CH14,3,3,CH591,,3/25/2021 10:01:52,,3/25/2021 10:01:52,CORE
2012CH14,3,3,CH525,,3/25/2021 10:01:52,,3/25/2021 10:01:52,CORE
1801EE67,7,7,EE493,,7/23/2021 09:40:03,,7/23/2021 09:40:03,CORE
2012CH14,3,3,CH521,,3/25/2021 10:01:52,,3/25/2021 10:01:52,CORE
2012CH13,3,3,CH527,,3/25/2021 22:04:45,,3/25/2021 22:04:45,CORE
2012CH13,3,3,CH525,,3/25/2021 22:04:45,,3/25/2021 22:04:45,CORE
1801EE68,7,7,EE485,,7/23/2021 12:54:43,,7/23/2021 12:54:43,CORE
1801CS44,7,7,CS491,,7/23/2021 13:35:01,,7/23/2021 13:35:01,CORE
1801EE68,7,7,EE493,,7/23/2021 12:54:43,,7/23/2021 12:54:43,CORE
1801EE68,7,7,EE525,,7/23/2021 12:54:43,,7/23/2021 12:54:43,Department Elective - I
1801EE68,7,7,PH401,,7/23/2021 12:54:43,,7/23/2021 12:54:43,Open Elective
1801EE69,7,7,EE484,,7/23/2021 00:45:10,,7/23/2021 00:45:10,CORE
1801EE69,7,7,EE485,,7/23/2021 00:45:10,,7/23/2021 00:45:10,CORE
1801EE69,7,7,EE486,,7/23/2021 00:45:10,,7/23/2021 00:45:10,CORE
1801CB15,7,7,CB401,,7/23/2021 11:49:54,,7/23/2021 11:49:54,CORE
2012CH12,3,3,CH523,,3/25/2021 21:20:29,,3/25/2021 21:20:29,CORE
1801EE69,7,7,HS451,,7/23/2021 00:45:10,,7/23/2021 00:45:10,Open Elective
1801ME01,7,7,ME431,,7/23/2021 00:05:12,,7/23/2021 00:05:12,CORE
1801ME01,7,7,ME495,,7/23/2021 00:05:12,,7/23/2021 00:05:12,CORE
1801ME01,7,7,ME504,,7/23/2021 00:05:12,,7/23/2021 00:05:12,Department Elective - I
1801ME01,7,7,ME533,,7/23/2021 00:05:12,,7/23/2021 00:05:12,Department Elective - II
2012CH11,3,3,CH530,,3/24/2021 23:55:56,,3/24/2021 23:55:56,CORE
2012CH11,3,3,CH523,,3/24/2021 23:55:56,,3/24/2021 23:55:56,CORE
1801ME03,7,7,ME495,,7/23/2021 00:16:27,,7/23/2021 00:16:27,CORE
1801ME03,7,7,ME504,,7/23/2021 00:16:27,,7/23/2021 00:16:27,Department Elective - I
1801ME03,7,7,ME533,,7/23/2021 00:16:27,,7/23/2021 00:16:27,Department Elective - II
1801ME03,7,7,PH403,,7/23/2021 00:16:27,,7/23/2021 00:16:27,Open Elective - III
1801ME04,7,7,EE520,,7/24/2021 12:15:46,,7/24/2021 12:15:46,Department Elective - II
1801ME04,7,7,HS531,,7/24/2021 12:15:46,,7/24/2021 12:15:46,Open Elective - III
1801CS46,7,7,CS555,,7/23/2021 12:34:15,,7/23/2021 12:34:15,Department Elective - III
2012CH10,3,3,CH527,,3/24/2021 22:19:33,,3/24/2021 22:19:33,CORE
2012CH10,3,3,CH523,,3/24/2021 22:19:33,,3/24/2021 22:19:33,CORE
1801ME05,7,7,ME431,,7/23/2021 00:09:37,,7/23/2021 00:09:37,CORE
1801ME05,7,7,ME495,,7/23/2021 00:09:37,,7/23/2021 00:09:37,CORE
1801ME05,7,7,ME504,,7/23/2021 00:09:37,,7/23/2021 00:09:37,Department Elective - I
1801ME05,7,7,ME512,,7/23/2021 00:09:37,,7/23/2021 00:09:37,Department Elective - II
1801CS47,7,7,CS491,,7/23/2021 02:05:35,,7/23/2021 02:05:35,CORE
2012CH09,3,3,CH523,,3/23/2021 10:12:01,,3/23/2021 10:12:01,CORE
2012CH08,3,3,CH605,,3/23/2021 10:12:37,,3/23/2021 10:12:37,Elective - I
1801ME06,7,7,ME504,,7/23/2021 00:16:10,,7/23/2021 00:16:10,Department Elective - II
