subno,subname,ltp,crd
ME209,Thermodynamics,3-1-0,8
ME210,Workshop - II,0-0-6,6
ME211,Machine Drawing,0-0-4,4
ME212,Mechanical Engineering Laboratory - I,0-0-4,4
ME214,Mechanics of Solids,3-0-0,6
ME216,Fluid Mechanics,3-0-2,8
ME231,Engineering Materials,3-0-2,8
ME292,Measurement Laboratory,0-0-2,2
ME301,Manufacturing Technology - I,3-1-0,8
ME302,Mechanical Measurements,2-1-0,6
ME303,Design of Machine Elements,3-1-0,8
ME304,Kinematics of Machinery,2-1-0,6
ME305,Heat and Mass Transfer,3-1-0,8
ME306,Manufacturing Technology - II,3-1-0,8
ME307,Machine Design,3-0-2,8
ME308,Dynamics of Machinery,2-1-0,6
ME309,Control Systems,3-1-0,8
ME310,Mechanical Engineering Laboratory - II,0-0-4,4
ME311,Mechanical Engineering Laboratory - III,0-0-4,4
ME312,System Dynamics and Control,3-0-2,8
ME313,Design of Machine Elements,3-0-3,9
ME314,Applied Thermodynamics,3-0-2,8
ME315,Heat and Mass Transfer,3-0-2,8
ME321,Applied Thermodynamics - I,2-1-0,6
ME322,Applied Thermodynamics - II,2-1-0,6
ME331,Manufacturing Technology,3-0-0,6
ME332,Manufacturing Technology - II,3-0-3,9
ME335,Bio-inspired Robotics,3-0-0,6
ME393,Engineering Software Laboratory - I,1-0-3,5
ME395,Engineering Practicum - I,0-0-3,3
ME396,Engineering Practicum - II,0-0-3,3
ME400,Summer Training,0-0-0,2
ME401,Industrial Engineering and Operations Research,3-1-0,8
ME411,Mechanical Engineering Laboratory - IV,0-0-4,4
ME431,Industrial Engineering and Operations Research,3-0-0,6
ME441,Computational Fluid Dynamics,3-0-0,6
ME442,Aerodynamics,3-0-0,6
ME443,Dynamics of Structural Members,3-0-0,6
ME445,Finite Element Method,3-0-0,6
ME446,Composite Materials and Engineering,3-0-0,6
ME447,Laser Material Processing,3-0-0,6
ME448,Rotor Dynamics,3-0-0,6
ME449,Refrigeration and Air Conditioning,3-0-0,6
ME461,Robotics and Robot Applications,3-0-0,6
ME481,Introduction to Biomechanics,3-0-0,6
ME495,Project - I,0-0-6,6
ME496,Project - II,0-0-18,18
ME498,Project - I,0-0-8,8
ME499,Project - II,0-0-16,16
ME501,Robotics: Advanced Concepts and Analysis,3-0-0,6
ME503,Computational Fluid Dynamics,3-0-0,6
ME504,Vehicle Dynamics and Multi-body Systems,3-0-0,6
ME512,Mobile Robotics,3-0-0,6
ME519,Engineering Software,1-0-4,6
ME521,Advanced Fluid Dynamics,3-0-0,6
ME522,Advanced Heat Transfer,3-0-0,6
ME523,Advanced Dynamics & Vibration for Solid Mechanics & Design stream,3-0-0,6
ME524,Theory of Elasticity for Solid Mechanics & Design stream,3-0-0,6
ME525,Metal Cutting & Analysis,3-0-0,6
ME526,Metal Forming and Analysis,3-0-0,6
ME527,Thermo Fluids Lab I,0-0-6,6
ME528,Thermo-Fluids Lab II,0-0-6,6
ME529,Thermo-Fluids-Lab - I,0-0-3,3
ME530,Thermo-Fluids Lab - II,0-0-3,3
ME531,Manufacturing Lab-I,0-0-3,3
ME532,Manufacturing Lab - II,0-0-3,3
ME533,Finite Element Analysis,3-0-0,6
ME534,Wear and Lubrication of Machine Components,3-0-0,6
ME535,Acoustics,3-0-0,6
ME536,Non-linear Systems Dynamics,3-0-0,6
ME537,Refrigeration and Air-Conditioning,3-0-0,6
ME538,Solid Mechanics and Design Lab - I,0-0-3,3
ME541,Turbulent Shear Flows,3-0-0,6
ME542,Aerodaynamics,3-0-0,6
ME543,Combustion and Fire Dynamics,3-0-0,6
ME544,"Composite Materials : Mechanics, Processing and Testing",3-0-0,6
ME546,Mult-Phase flow and Heat Transfer,3-0-0,6
ME547,Laser Material Processing,3-0-0,6
ME554,Rotordynamics,3-0-0,6
ME581,Biomechanics and Biomechatronics,3-0-0,6
ME600,Comprehensive Viva,0-0-0,10
ME601,Project-Phase I,0-0-0,40
ME602,Project - Phase II,0-0-0,45
ME603,Project Phase I,0-0-0,24
ME604,Project Phase - II,0-0-0,24
ME702,Advanced Fluid Mechanics,3-0-0,6
ME721,Non-Linear Elasticity and Fracture Mechanics,3-0-0,6
ME742,Advanced Manufacturing Processes,3-0-0,6
ME761,Computational Techniques in Mechanical Engineering,3-0-0,6
ME765,Soft Computing Application in Engineering,3-0-0,6
ME767,Computational Methods in Mechanical Engineering,3-0-0,6
ME768,Applied Analytical Methods in Engineering,3-0-0,6
MH501,Fundamentals of Mechatronics,3-0-0,6
MH502,Sensors and Actuators,3-0-0,6
MH503,Advanced Engineering Mathematics,3-0-0,6
MH504,Modeling and Simulation of Mechatronic Systems,3-0-0,6
MH505,Mechatronic Laboratory - I,0-0-6,6
MH506,Mechatronics laboratory-II,0-0-6,6
MH507,Seminar - I,0-0-4,4
MH508,Seminar,0-0-4,4
MH519,Mechatronic Laboratory - I,0-0-3,3
MH520,Mechatronic Laboratory-II,0-0-3,3
MH600,Comprehensive Viva,0-0-0,10
MH601,Project - Phase I,0-0-0,40
MH602,Project - Phase II,0-0-0,45
MH603,Project Phase I,0-0-0,24
MH604,Project Phase - II,0-0-0,24
MM501,Nano-structured Materials,3-0-0,6
MM502,Materials Processing Technology,3-0-0,6
MM503,Advanced Materials Characterisation Techniques,3-0-0,6
MM504,Structural and Functional Properties of Materials,3-0-0,6
MM505,Thermodynamics and Phase Diagrams,3-0-0,6
MM506,Microstructure and Phase Analysis Laboratory,0-0-6,6
MM507,Seminar-I,0-0-4,4
MM508,Advanced Ceramics and Glass,3-0-0,6
MM509,Surface Engineering,3-0-0,6
MM510,Composite Science and Technology,3-0-0,6
MM511,Rubber Science and Technology,3-0-0,6
MM512,Alloy Development and Heat Treatment,3-0-0,6
MM513,Coating Technology,3-0-0,6
MM514,Joining of Materials,3-0-0,6
MM515,Advanced Building Materials,3-0-0,6
MM516,Materials Characterisation Laboratory,0-0-6,6
MM517,Seminar-II,0-0-4,4
MM519,Microstructure and Phase Analysis Laboratory,0-0-3,3
MM520,Materials Characterisation Laboratory,0-0-3,3
MM522,Thin Films : An Engineering Approach,3-0-0,6
MM600,Comprehensive Viva,0-0-0,10
MM601,Project-Phase I,0-0-0,40
MM602,Project-Phase II,0-0-0,45
MM603,Project Phase I,0-0-0,24
MM604,Project Phase - II,0-0-0,24
MM711,Analysis - I,3-0-0,6
MS501,Nano-structured Materials,3-0-0,6
MS502,Materials Processing Technology,3-0-0,6
MS503,Advanced Materials Characterisation Techniques,3-0-0,6
MS504,Structural and Functional Properties of Materials,3-0-0,6
MS505,Thermodynamics and Phase Diagrams,3-0-0,6
MS506,Microstructure and Phase Analysis Laboratory,0-0-6,6
MS507,Seminar-I,0-0-4,4
MS508,Advanced Ceramics and Glass,3-0-0,6
MS509,Surface Engineering,3-0-0,6
MS510,Composite Science and Technology,3-0-0,6
MS511,Rubber Science and Technology,3-0-0,6
MS512,Alloy Development and Heat Treatment,3-0-0,6
MS513,Coating Technology,3-0-0,6
MS514,Joining of Materials,3-0-0,6
MS515,Advanced Building Materials,3-0-0,6
MS516,Materials Characterisation Laboratory,0-0-6,6
MS517,Seminar,0-0-4,4
MS519,Microstructure and Phase Analysis Laboratory,0-0-3,3
MS520,Materials Characterisation Laboratory,0-0-3,3
MS522,Thin Films : An Engineering Approach,3-0-0,6
MS600,Comprehensive Viva,0-0-0,10
MS601,Project-Phase I,0-0-0,40
MS602,Project-Phase II,0-0-0,45
MS603,Project Phase I,0-0-0,24
MS604,Project Phase - II,0-0-0,24
MS711,Analysis - I,3-0-0,6
NCCS,NCC / NSS,0-0-0,0
NSO,National Sports Organization,0-0-0,0
NSS,National Service Scheme,0-0-0,0
NT501,Concepts of Nanomaterials,3-0-0,6
NT502,Analytical Techniques,3-0-0,6
NT503,Nanoscale Measurement and Analysis Laboratory,0-0-6,6
NT504,Topical Seminar - I,0-0-4,4
NT505,Nanoscale Measurement and Analysis Laboratory,0-0-3,3
NT511,Design and Synthesis of Nanomaterials,3-0-0,6
NT512,Nanoscale Devices,3-0-0,6
NT513,Nanomaterial Synthesis and Device Fabrication Lab,0-0-6,6
NT514,Topical Seminar - II,0-0-4,4
NT515,Nanomaterial Synthesis and Device Fabrication Laboratory,0-0-3,3
NT601,Project - Phase I,0-0-0,40
NT602,Comprehensive Viva,0-0-0,10
NT610,Project I,0-0-0,24
NT611,Project - Phase II,0-0-0,45
NT620,Project - II,0-0-0,24
PH001,Preparatory Physics - I,3-2-0,10
PH002,Preparatory Physics - II,3-2-0,10
PH101,Physics - I,2-1-0,6
PH102,Physics - II,2-1-0,6
PH103,Physics - I,3-1-0,8
PH110,Physics Laboratory,0-0-3,3
PH201,Optics & Lasers,3-0-0,6
PH203,Vacuum Science and Techniques,3-0-0,6
PH301,Engineering Optics,3-0-0,6
PH401,Introduction to Nanomaterials,3-0-0,6
PH402,Solid State Devices,3-0-0,6
PH403,Photovoltaics & Fuel Cell Technology,3-0-0,6
PH420,Quantum Mechanics - II,2-1-0,6
PH421,Mathematical Physics,3-1-0,8
PH422,Applied Optics,3-1-0,8
PH423,Classical Mechanics,3-1-0,8
PH424,Statistical Physics,3-1-0,8
PH425,Quantum Mechanics I,3-1-0,8
PH426,Electrodynamics,3-1-0,8
PH427,Numerical Techniques,2-0-2,6
PH428,Computational Physics,2-0-3,7
PH429,Electronics,2-1-0,6
PH430,Electronics Laboratory,0-0-6,6
PH440,General Physics Laboratory,0-0-6,6
PH501,Thin Film Technology,3-0-0,6
PH502,Nanomaterials for Solar Energy and Photovoltaics,3-0-0,6
PH503,Nanophotonics,3-0-0,6
PH504,Computational Nanoscience,3-0-0,6
PH511,Nanoelectronics,3-0-0,6
PH512,Nanoionics: Concepts and Technological Applications,3-0-0,6
PH513,Magnetism at Nanoscale - I,3-0-0,6
PH514,Nanoscopic Dielectric and Ferroelectric Phenomena,3-0-0,6
PH515,MEMS and NEMS,3-0-0,6
PH521,Atomic & Molecular Physics,3-1-0,8
PH523,Solid State Physics,3-1-0,8
PH525,Particle Physics,3-1-0,8
PH527,Measurement Techniques,2-0-2,6
PH591,Project - I,0-0-8,8
PH592,Project - II,0-0-16,16
PH601,Nanoscience,3-0-0,6
PH602,Quantum Optics And Quantum Information,3-0-0,6
PH603,Physics of Ultracold Atoms,3-0-0,6
PH604,Biophotonics,3-0-0,6
PH605,Introduction to Medical Physics,3-0-0,6
PH606,Magnetic Materials and Applications,3-0-0,6
PH607,Materials for Engineering Applications,3-0-0,6
PH608,Atomic Collision Physics,3-0-0,6
PH609,Fourier Optics And Holography,3-0-0,6
PH610,Introductory Biophysics,3-0-0,6
PH701,Mathematical Physics and Numerical Methods,3-0-0,6
PH702,Classical Mechanics and Electrodynamics,3-0-0,6
PH703,Quantum Mechanics and Statistical Mechanics,3-0-0,6
PH704,Experimental Techniques and Scientific Presentation,3-0-0,6
PH705,Fourier Optics,3-0-0,6
PH706,Advanced Course on Semiconductor Devices,3-0-0,6
PH707,Magnetism and Super Conductivity,3-0-0,6
PH708,Physics of Materials,3-0-0,6
PH709,Introduction to the Physics of Nonlinear Systems,3-0-0,6
PH710,Theory and Application of Holography,3-0-0,6
SE501,Fundamentals of Mechatronics,3-0-0,6
SE502,Sensors and Actuators,3-0-0,6
SE503,Advanced Engineering Mathematics,3-0-0,6
SE504,Modelling and Simulation of Mechatronics System,3-0-0,6
SE505,Mechatronic Laboratory - I,0-0-6,6
SE506,Mechatronic Laboratory - II,3-0-0,6
SE507,Seminar - I,0-0-4,4
SE508,Seminar - II,0-0-4,4
SE600,Comprehensive Viva,0-0-0,10
SE601,Project - Phase I,0-0-0,40
SE602,Project - Phase II,0-0-0,45
